row_scope	heldout_scientific_name	candidate_id	raw_scientific_name	candidate_class	best_rank	accepted_key_before	accepted_key_after_free_tier_recovery	accepted_key_status	modern_failure_seed_status	modern_failure_independent_free_tier_status	source_groups	source_class_count	non_singleton_source_support	living_megafauna_exclusion_status	passes_validation_contract	final_status	rejection_reason	enters_master_prediction_ledger	inferred_anachronism_claim
canonical_heldout	Persea americana	T2C0028	Persea americana	neotropical_gomphothere_large_fruit	8			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
canonical_heldout	Maclura pomifera	T2C0017	Maclura pomifera	north_american_temperate_megafauna_fruit	4			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Janzen&Martin1982	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
canonical_heldout	Gleditsia triacanthos	T2C0003	Gleditsia triacanthos	north_american_temperate_megafauna_fruit	11			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	blocked_living_megafauna_ambiguity	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile|living_megafauna_ambiguity	False	False
canonical_heldout	Annona cherimola	T2C0006	Annona cherimola	neotropical_gomphothere_large_fruit	14	wfo:wfo-0000537707-2025-12	wfo:wfo-0000537707-2025-12	accepted_key_present_existing	needs_independent_modern_failure_check	not_found_modern_failure_absent_local_only	paleobotany_sources;Janzen&Martin1982	1	False	passes_living_megafauna_exclusion	False	insufficient_support	modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
canonical_heldout	Mauritia flexuosa	T2C0022	Mauritia flexuosa	amazonian_palm_or_ground_sloth_fruit	23			accepted_key_absent_after_free_tier_recovery	needs_independent_modern_failure_check	not_found_modern_failure_absent_local_only	paleobotany_sources;Guimaraes2008	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
canonical_heldout	Spondias mombin	T2C0026	Spondias mombin	neotropical_gomphothere_large_fruit	30			accepted_key_absent_after_free_tier_recovery	needs_independent_modern_failure_check	not_found_modern_failure_absent_local_only	paleobotany_sources;Guimaraes2008	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
canonical_heldout	Sideroxylon foetidissimum	T2C0009	Sideroxylon foetidissimum	neotropical_gomphothere_large_fruit	9			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
canonical_heldout	Asimina triloba	T2C0016	Asimina triloba	north_american_temperate_megafauna_fruit	1	wfo:wfo-0000552025-2025-12	wfo:wfo-0000552025-2025-12	accepted_key_present_existing	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	source_control_failed	modern_failure_independent_evidence_absent|singleton_or_source_class_fragile|ablation_fragile	False	False
local_candidate		T2C0016	Asimina triloba	north_american_temperate_megafauna_fruit	1	wfo:wfo-0000552025-2025-12	wfo:wfo-0000552025-2025-12	accepted_key_present_existing	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	insufficient_support	modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0018	Diospyros virginiana	north_american_temperate_megafauna_fruit	2			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0019	Gymnocladus dioicus	north_american_temperate_megafauna_fruit	3			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0017	Maclura pomifera	north_american_temperate_megafauna_fruit	4			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Janzen&Martin1982	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0021	Maclura pomifera	north_american_temperate_megafauna_fruit	5			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0011	Crescentia alata	neotropical_gomphothere_large_fruit	6			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Janzen&Martin1982	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0024	Enterolobium cyclocarpum	neotropical_gomphothere_large_fruit	7			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0028	Persea americana	neotropical_gomphothere_large_fruit	8			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0009	Sideroxylon foetidissimum	neotropical_gomphothere_large_fruit	9			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0004	Crataegus laciniata	european_browsing_regime	10			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	passes_living_megafauna_exclusion	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
local_candidate		T2C0003	Gleditsia triacanthos	north_american_temperate_megafauna_fruit	11			accepted_key_absent_after_free_tier_recovery	seed_modern_failure_present	not_found_beyond_seed_citation_local_only	paleobotany_sources;Barlow2000	1	False	blocked_living_megafauna_ambiguity	False	data_limited	accepted_key_absent|modern_failure_independent_evidence_absent|singleton_or_source_class_fragile|living_megafauna_ambiguity	False	False
local_candidate		T2C0001	Adansonia grandidieri	madagascar_elephant_bird_baobab	12	wfo:wfo-0000519676-2025-12	wfo:wfo-0000519676-2025-12	accepted_key_present_existing	needs_independent_modern_failure_check	not_found_modern_failure_absent_local_only	paleobotany_sources;Bond&Silander2007	1	False	passes_living_megafauna_exclusion	False	insufficient_support	modern_failure_independent_evidence_absent|singleton_or_source_class_fragile	False	False
