family,group,n,mean,variance,q90,q99,vertices,directed_edges,cyclomatic_rank,generator_rank,is_cyclic_power_family
commutator_single,mixed,50,1.043,1.0281791791791792,2.0,4.0,4,4,1,2,0
commutator_single,mixed,100,0.978,1.0545705705705706,2.0,4.0,4,4,1,2,0
commutator_single,mixed,200,0.976,0.9944184184184185,2.0,4.0,4,4,1,2,0
commutator_single,mixed,400,0.991,1.003922922922923,2.0,4.0,4,4,1,2,0
commutator_with_a,mixed,50,0.037,0.04167267267267266,0.0,1.0,4,5,2,2,0
commutator_with_a,mixed,100,0.025,0.024399399399399398,0.0,1.0,4,5,2,2,0
commutator_with_a,mixed,200,0.004,0.003987987987987988,0.0,0.0,4,5,2,2,0
commutator_with_a,mixed,400,0.0,0.0,0.0,0.0,4,5,2,2,0
cyclic_eight,eight_cyclic,50,0.966,1.0498938938938938,2.0,4.0,29,36,7,1,1
cyclic_eight,eight_cyclic,100,1.032,1.072048048048048,2.0,4.0,29,36,7,1,1
cyclic_eight,eight_cyclic,200,0.998,1.0450410410410407,2.0,4.0,29,36,7,1,1
cyclic_eight,eight_cyclic,400,1.016,1.0147587587587588,2.0,4.0,29,36,7,1,1
cyclic_pair_a2_a3,cyclic,50,0.966,1.0498938938938938,2.0,4.0,4,5,1,1,1
cyclic_pair_a2_a3,cyclic,100,1.032,1.072048048048048,2.0,4.0,4,5,1,1,1
cyclic_pair_a2_a3,cyclic,200,0.998,1.0450410410410407,2.0,4.0,4,5,1,1,1
cyclic_pair_a2_a3,cyclic,400,1.016,1.0147587587587588,2.0,4.0,4,5,1,1,1
cyclic_pair_a_a2,cyclic,50,0.966,1.0498938938938938,2.0,4.0,2,3,1,1,1
cyclic_pair_a_a2,cyclic,100,1.032,1.072048048048048,2.0,4.0,2,3,1,1,1
cyclic_pair_a_a2,cyclic,200,0.998,1.0450410410410407,2.0,4.0,2,3,1,1,1
cyclic_pair_a_a2,cyclic,400,1.016,1.0147587587587588,2.0,4.0,2,3,1,1,1
identity_control,control,50,50.0,0.0,50.0,50.0,1,0,0,0,0
identity_control,control,100,100.0,0.0,100.0,100.0,1,0,0,0,0
identity_control,control,200,200.0,0.0,200.0,200.0,1,0,0,0,0
identity_control,control,400,400.0,0.0,400.0,400.0,1,0,0,0,0
mixed_eight,eight_mixed,50,0.014,0.013817817817817813,0.0,1.0,10,17,7,2,0
mixed_eight,eight_mixed,100,0.008,0.00794394394394394,0.0,0.0,10,17,7,2,0
mixed_eight,eight_mixed,200,0.002,0.001997997997997998,0.0,0.0,10,17,7,2,0
mixed_eight,eight_mixed,400,0.0,0.0,0.0,0.0,10,17,7,2,0
rank_two_eight,eight_rank_two,50,0.014,0.013817817817817813,0.0,1.0,9,16,8,2,0
rank_two_eight,eight_rank_two,100,0.008,0.00794394394394394,0.0,0.0,9,16,8,2,0
rank_two_eight,eight_rank_two,200,0.002,0.001997997997997998,0.0,0.0,9,16,8,2,0
rank_two_eight,eight_rank_two,400,0.0,0.0,0.0,0.0,9,16,8,2,0
rank_two_pair_a_b,rank_two,50,0.014,0.013817817817817813,0.0,1.0,1,2,2,2,0
rank_two_pair_a_b,rank_two,100,0.008,0.00794394394394394,0.0,0.0,1,2,2,2,0
rank_two_pair_a_b,rank_two,200,0.002,0.001997997997997998,0.0,0.0,1,2,2,2,0
rank_two_pair_a_b,rank_two,400,0.0,0.0,0.0,0.0,1,2,2,2,0
rank_two_pair_ab_aB,rank_two,50,0.038,0.03859459459459459,0.0,1.0,3,4,2,2,0
rank_two_pair_ab_aB,rank_two,100,0.015,0.016791791791791792,0.0,1.0,3,4,2,2,0
rank_two_pair_ab_aB,rank_two,200,0.005,0.004979979979979982,0.0,0.0,3,4,2,2,0
rank_two_pair_ab_aB,rank_two,400,0.003,0.0029939939939939955,0.0,0.0,3,4,2,2,0
rank_two_pair_ab_ba,rank_two,50,0.027,0.02629729729729729,0.0,1.0,3,4,2,2,0
rank_two_pair_ab_ba,rank_two,100,0.017,0.01872972972972973,0.0,1.0,3,4,2,2,0
rank_two_pair_ab_ba,rank_two,200,0.006,0.005969969969969972,0.0,0.0,3,4,2,2,0
rank_two_pair_ab_ba,rank_two,400,0.006,0.00596996996996997,0.0,0.0,3,4,2,2,0
single_a,cyclic,50,0.966,1.0498938938938938,2.0,4.0,1,1,1,1,1
single_a,cyclic,100,1.032,1.072048048048048,2.0,4.0,1,1,1,1,1
single_a,cyclic,200,0.998,1.0450410410410407,2.0,4.0,1,1,1,1,1
single_a,cyclic,400,1.016,1.0147587587587588,2.0,4.0,1,1,1,1,1
single_a2,cyclic,50,1.978,2.9684844844844847,4.0,7.0,2,2,0,1,1
single_a2,cyclic,100,1.982,3.0146906906906907,4.0,7.0,2,2,0,1,1
single_a2,cyclic,200,2.022,3.374890890890891,5.0,7.009999999999991,2,2,0,1,1
single_a2,cyclic,400,1.99,3.2891891891891887,4.0,7.0,2,2,0,1,1
