observable,fit_degree,train_rmse,holdout_rmse,extrapolation_rmse,derivative_at_zero,coefficient_norm,seed
centered_trace_moment_4,1,2.830524433501838e-16,0.4260000000000055,0.12966666666666726,231.73333333333272,231.7333908946988,20260515
centered_trace_moment_4,2,1.7554167342883506e-16,24.349999999999966,3.2266666666666635,-4723.466666666662,660710.217810646,20260515
centered_trace_moment_4,3,4.965068306494546e-16,93.86999999999975,0.2493333333333253,7326.666666666631,296630739.9310829,20260515
centered_trace_moment_4,6,8.777083671441752e-16,127300.2166666665,337.78933333333293,-8288432.266666658,2.16549656797544e+18,20260515
centered_trace_moment_6,1,2.5121479338940403e-15,5.1030000000001365,1.3940000000000259,4029.599999999985,4029.6004111590673,20260515
centered_trace_moment_6,2,2.808666774861361e-15,401.24899999999957,52.187999999999995,-77240.79999999996,10836328.62194905,20260515
centered_trace_moment_6,3,2.808666774861361e-15,1610.1289999999942,8.25599999999974,132298.39999999912,5158103871.750188,20260515
centered_trace_moment_6,6,7.944109290391274e-15,2092435.6489999979,5502.731999999996,-135477093.59999987,3.5516370100176052e+19,20260515
spectral_radius_nontrivial,1,3.1401849173675503e-16,0.01900883163787359,0.00518834422676262,-6.3046893416609056,7.194811464824678,20260515
spectral_radius_nontrivial,2,9.42055475210265e-16,82.608122363047,10.333579743562375,-16531.730928278637,2203452.18217961,20260515
spectral_radius_nontrivial,3,7.021666937153402e-16,80.71671556054856,10.428150083687294,-16859.574774045024,8389783.881283857,20260515
spectral_radius_nontrivial,6,1.5700924586837751e-15,408960.8137492199,1250.7492979585008,-29213144.722603753,7.221896709500881e+18,20260515
window_pos_edge,1,1.962615573354719e-17,0.002333333333333326,0.0008333333333332971,0.7000000000000094,0.7329623303948102,20260515
window_pos_edge,2,1.962615573354719e-17,5.2766666666666655,0.6607083333333333,-1055.0999999999997,140777.28729342777,20260515
window_pos_edge,3,4.3885418357208765e-17,5.486666666666659,0.6502083333333335,-1018.7000000000008,905482.0733350612,20260515
window_pos_edge,6,7.076311083754595e-17,26150.326666666668,79.73370833333328,-1864186.6999999995,4.6140278259593946e+17,20260515
window_pos_mid,1,7.850462293418876e-17,0.0009999999999996678,8.33333333335462e-05,-0.6333333333332722,0.6940944540269959,20260515
window_pos_mid,2,7.850462293418876e-17,6.758,0.8447916666666666,-1352.4333333333336,180245.0739475492,20260515
window_pos_mid,3,7.850462293418876e-17,6.567999999999989,0.8542916666666669,-1385.3666666666682,832489.9838988725,20260515
window_pos_mid,6,1.5700924586837752e-16,33451.14133333333,102.33112499999996,-2389908.0333333323,5.907599553726213e+17,20260515
