template,n,x,observed,fit_degree,prediction,residual,split,bootstrap_id,seed
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,0,20260515
single_label_cycle,50,0.02,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,0,20260515
single_label_cycle,20,0.05,0.9999999999999999,1,1.0000000000000002,-3.3306690738754696e-16,train,0,20260515
single_label_cycle,4,0.25,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,0,20260515
single_label_cycle,8,0.125,1.0,1,1.0000000000000002,-2.220446049250313e-16,holdout,0,20260515
single_label_cycle,3,0.3333333333333333,1.0,1,1.0000000000000002,-2.220446049250313e-16,holdout,0,20260515
single_label_cycle,400,0.0025,1.0,1,1.0000000000000002,-2.220446049250313e-16,extrapolation,0,20260515
single_label_cycle,200,0.005,1.0,1,1.0000000000000002,-2.220446049250313e-16,extrapolation,0,20260515
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,1,20260515
single_label_cycle,50,0.02,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,1,20260515
single_label_cycle,20,0.05,0.9999999999999999,1,1.0000000000000002,-3.3306690738754696e-16,train,1,20260515
single_label_cycle,4,0.25,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,1,20260515
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,2,20260515
single_label_cycle,50,0.02,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,2,20260515
single_label_cycle,20,0.05,0.9999999999999999,1,1.0000000000000002,-3.3306690738754696e-16,train,2,20260515
single_label_cycle,4,0.25,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,2,20260515
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,3,20260515
single_label_cycle,50,0.02,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,3,20260515
single_label_cycle,20,0.05,0.9999999999999999,1,1.0000000000000002,-3.3306690738754696e-16,train,3,20260515
single_label_cycle,4,0.25,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,3,20260515
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,4,20260515
single_label_cycle,50,0.02,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,4,20260515
single_label_cycle,20,0.05,0.9999999999999999,1,1.0000000000000002,-3.3306690738754696e-16,train,4,20260515
single_label_cycle,4,0.25,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,4,20260515
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,5,20260515
single_label_cycle,50,0.02,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,5,20260515
single_label_cycle,20,0.05,0.9999999999999999,1,1.0000000000000002,-3.3306690738754696e-16,train,5,20260515
single_label_cycle,4,0.25,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,5,20260515
single_label_cycle,100,0.01,1.0,1,1.0000000000000002,-2.220446049250313e-16,train,6,20260515
