n,observable,mean,variance,std,q10,q50,q90,trials,seed
100,centered_trace_moment_2,0.15733333333333327,0.00639264367816092,0.0799540097691224,0.07799999999999924,0.14000000000000012,0.2620000000000005,30,20260515
100,centered_trace_moment_4,2.906666666666668,1.2106298850574704,1.1002862741384491,1.741999999999993,2.8599999999999905,4.196000000000013,30,20260515
100,centered_trace_moment_6,47.21933333333337,189.3044822988498,13.758796542534155,32.44399999999972,47.139999999999844,63.00200000000014,30,20260515
100,centered_trace_moment_8,745.0453333333337,27974.967363678057,167.25718927351988,561.0859999999994,746.9399999999982,944.238,30,20260515
100,spectral_radius_nontrivial,3.422401656364362,0.0038061325477398746,0.06169386150776975,3.3401352377991484,3.437750278492771,3.498983173201183,30,20260515
100,top_nontrivial_1,3.422401656364362,0.0038061325477398746,0.06169386150776975,3.3401352377991484,3.437750278492771,3.498983173201183,30,20260515
100,top_nontrivial_2,3.318401532914266,0.0031027798698239897,0.055702602002276246,3.251121420948056,3.315759719367631,3.3900282917297644,30,20260515
100,top_nontrivial_3,3.253329810575931,0.004153978994556353,0.06445136922173456,3.1618005541116765,3.248923574499295,3.322194816792522,30,20260515
100,top_nontrivial_4,3.182184900475893,0.0029917992053427062,0.05469734184896654,3.1149600397579156,3.18510576605014,3.2565452807833206,30,20260515
100,top_nontrivial_5,3.1141469723716853,0.0025426371952332006,0.05042456936090977,3.0490129158647097,3.1112002690825786,3.174191350310288,30,20260515
100,trace_moment_2_per_vertex,4.157333333333333,0.006392643678160919,0.0799540097691224,4.077999999999999,4.140000000000001,4.2620000000000005,30,20260515
100,trace_moment_4_per_vertex,30.90666666666667,1.2106298850574704,1.1002862741384491,29.741999999999994,30.859999999999992,32.19600000000001,30,20260515
100,trace_moment_6_per_vertex,279.21933333333334,189.30448229884982,13.758796542534155,264.44399999999973,279.1399999999999,295.0020000000001,30,20260515
100,trace_moment_8_per_vertex,2837.0453333333335,27974.967363678064,167.2571892735199,2653.0859999999993,2838.9399999999982,3036.2380000000003,30,20260515
100,window_neg_edge,0.21333333333333332,6.436781609195404e-05,0.00802295557085754,0.2,0.21,0.22,30,20260515
100,window_neg_mid,0.2813333333333334,0.00013609195402298818,0.01166584561971348,0.27,0.28,0.291,30,20260515
