template,fit_degree,train_rmse,holdout_rmse,extrapolation_rmse,derivative_at_zero,coefficient_norm,chebyshev_norm,bootstrap_sd,seed
single_label_cycle,1,2.5438405243138006e-16,2.220446049250313e-16,2.220446049250313e-16,-3.2958873436012093e-16,1.0000000000000002,1.0000000000000002,0.0,20260515
single_label_cycle,2,3.7238012298709097e-16,6.280369834735101e-16,5.661048867003676e-16,-7.89977300868728e-15,1.0000000000000007,1.0000000000000002,2.2316322462394835e-16,20260515
single_label_cycle,3,3.925231146709438e-16,2.12543202139111e-15,4.440892098500626e-16,-1.1830200315658935e-14,0.9999999999999997,0.9999999999999997,2.2316322462394835e-16,20260515
single_label_cycle,4,8.899114524108741e-16,7.146119602006858,0.005223932655938963,-1.8357572560720792,4444.924900084673,0.8437076864169363,0.0,20260515
single_label_cycle,6,1.0488523176472411e-15,71.67786919561276,0.0814941378920597,-31.29910624449073,2303137.408326979,0.7790725144688582,2.2316322462394835e-16,20260515
single_label_cycle,8,4.54378355600607e-16,352.8330217860055,0.37676366448455423,-159.28397837757745,483307483.8205776,0.7637908230013981,2.2316322462394835e-16,20260515
eight_word_cyclic_toy,1,0.15002233558327505,0.24836984681638216,0.11975281828261376,-3.1241334688973117,3.3226926374519747,0.7805331821156597,0.0,20260515
eight_word_cyclic_toy,2,0.005808800044840388,0.3940777136355368,0.019563859521135103,2.0820604338390853,15.17714386197574,0.8739630667614579,3.3474483693592255e-16,20260515
eight_word_cyclic_toy,3,1.9229626863835638e-16,0.4759533692036031,0.0006172952771599706,-0.1871463040140109,47.955388644740516,0.8815999391731564,4.463264492478967e-16,20260515
eight_word_cyclic_toy,4,5.688200336284365e-16,0.15893141443971315,0.003981822082837753,-1.2362836490642382,893.4779969171035,0.8704129297359415,4.463264492478967e-16,20260515
eight_word_cyclic_toy,6,4.577566798522237e-16,0.31028619464925006,0.09901650793732772,33.533180620522984,639188.1058003326,0.7995680323209844,1.1158161231197418e-16,20260515
eight_word_cyclic_toy,8,4.611102534756203e-16,0.8228216910431306,0.5580970603737615,206.0787393032515,101687967.25862741,0.6619643212119064,0.0,20260515
eight_word_rank2_toy,1,0.14882426849560348,0.30473286362612156,0.1822506257461451,-3.652162120259888,3.738318458445421,0.5445315256650338,2.2316322462394835e-16,20260515
eight_word_rank2_toy,2,0.007568458725993747,0.24590726120111478,0.01321063312825288,-10.27251960810853,26.8519750503499,0.5665753297749472,0.0,20260515
eight_word_rank2_toy,3,2.3705439020893657e-15,0.38096327183662587,0.0008898492599138637,-9.187666353474583,35.706130430963576,0.5731023967855963,2.2316322462394835e-16,20260515
eight_word_rank2_toy,4,1.303699802838727e-16,0.7999172652698398,0.008514035279727765,-7.022038639748729,1159.0722511788913,0.5579375084209066,1.1158161231197418e-16,20260515
eight_word_rank2_toy,6,5.17075646815394e-16,31.800201588076117,0.4683399579674132,-129.80968180473474,2011222.8915242497,0.5099874129946931,2.2316322462394835e-16,20260515
eight_word_rank2_toy,8,4.14014208754318e-16,276.1667302684627,1.9825412354582874,-628.7929031865893,724070320.0580354,0.36855061186760424,8.926528984957934e-16,20260515
