edge_id,edge_family,taxon_members,introduced_taxon_pairs,provenance
edge:regional:taxon:F01,regional_checklist_context,5,10,synthetic_regional_checklist
edge:regional:taxon:F02,regional_checklist_context,5,10,synthetic_regional_checklist
edge:regional:taxon:F03,regional_checklist_context,5,10,synthetic_regional_checklist
edge:regional:taxon:F04,regional_checklist_context,5,10,synthetic_regional_checklist
edge:reticulate:001,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:reticulate:002,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:reticulate:003,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:reticulate:004,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:reticulate:005,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:reticulate:006,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:reticulate:007,reticulate_or_hybrid_signal,3,3,synthetic_reticulation_oracle
edge:trait_convergence:001,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:002,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:003,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:004,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:005,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:006,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:007,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:008,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:009,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_convergence:010,trait_syndrome,2,1,synthetic_trait_convergence_trap
edge:trait_local:taxon:G001,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G002,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G003,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G004,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G005,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G006,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G007,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G008,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G009,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G010,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G011,trait_syndrome,2,1,synthetic_local_trait
edge:trait_local:taxon:G012,trait_syndrome,2,1,synthetic_local_trait
